timestamp,data1,data2
66591.58609,574,832
66591.58609,571,836
66591.58609,568,832
66591.58609,564,832
66591.58609,561,836
66591.58609,559,832
66591.58609,556,832
66591.58609,554,836
66591.58609,551,832
66591.58609,548,832
66591.598949,546,836
66591.598949,544,832
66591.598949,543,832
66591.598949,541,836
66591.598949,538,832
66591.598949,536,832
66591.598949,533,836
66591.598949,530,832
66591.598949,527,836
66591.598949,526,832
66591.598949,524,832
66591.598949,522,836
66591.598949,519,832
66591.598949,517,832
66591.598949,515,836
66591.598949,512,832
66591.61117999999,510,832
66591.61117999999,507,836
66591.61117999999,505,832
66591.61117999999,502,832
66591.61117999999,499,836
66591.61117999999,495,832
66591.61117999999,491,832
66591.61117999999,488,836
66591.61117999999,484,832
66591.61117999999,480,832
66591.61117999999,476,836
66591.61117999999,472,832
66591.61117999999,467,832
66591.61117999999,463,836
66591.61117999999,459,832
66591.61117999999,456,832
66591.623765,452,836
66591.623765,449,832
66591.623765,445,832
66591.623765,442,836
66591.623765,439,832
66591.623765,436,832
66591.623765,432,836
66591.623765,428,832
66591.623765,423,832
66591.623765,420,836
66591.623765,416,832
66591.623765,411,836
66591.623765,408,832
66591.623765,404,832
66591.623765,400,836
66591.623765,397,832
66591.636324,393,832
66591.636324,389,836
66591.636324,386,832
66591.636324,383,832
66591.636324,380,836
66591.636324,377,832
66591.636324,374,832
66591.636324,371,836
66591.636324,368,832
66591.636324,365,832
66591.636324,362,836
66591.636324,358,832
66591.636324,355,832
66591.636324,351,836
66591.636324,347,832
66591.636324,342,832
66591.652627,338,836
66591.652627,333,832
66591.652627,329,832
66591.652627,324,836
66591.652627,319,832
66591.652627,314,832
66591.652627,309,836
66591.652627,306,832
66591.652627,302,832
66591.652627,297,836
66591.652627,294,832
66591.652627,290,836
66591.652627,286,832
66591.652627,282,832
66591.652627,279,836
66591.652627,275,832
66591.663885,271,832
66591.663885,268,836
66591.663885,264,832
66591.663885,261,832
66591.663885,257,836
66591.663885,253,832
66591.663885,249,832
66591.663885,245,836
66591.663885,241,832
66591.663885,236,832
66591.663885,233,836
66591.663885,228,832
66591.663885,225,832
66591.663885,221,836
66591.663885,218,832
66591.663885,215,832
66591.676538,211,836
66591.676538,207,832
66591.676538,204,832
66591.676538,201,836
66591.676538,198,832
66591.676538,194,832
66591.676538,191,836
66591.676538,188,836
66591.676538,185,832
66591.676538,182,832
66591.676538,179,832
